,0,1,2,3
252,45,adult,adult,*
253,7,child,young,*
254,39,adult,adult,*
255,30,adult,adult,*
256,98,old,adult,*
257,62,old,adult,*
258,29,young-adult,young,*
259,15,child,young,*
260,20,young-adult,young,*
261,22,young-adult,young,*
262,64,old,adult,*
263,13,child,young,*
264,40,adult,adult,*
265,63,old,adult,*
266,59,adult,adult,*
267,15,child,young,*
268,28,young-adult,young,*
269,41,adult,adult,*
270,3,child,young,*
271,16,child,young,*
272,45,adult,adult,*
273,9,child,young,*
274,22,young-adult,young,*
275,25,young-adult,young,*
276,71,old,adult,*
277,80,old,adult,*
278,39,adult,adult,*
279,12,child,young,*
280,81,old,adult,*
281,4,child,young,*
282,52,adult,adult,*
283,10,child,young,*
284,32,adult,adult,*
285,23,young-adult,young,*
286,65,old,adult,*
287,10,child,young,*
288,78,old,adult,*
289,21,young-adult,young,*
290,1,child,young,*
291,96,old,adult,*
292,35,adult,adult,*
293,98,old,adult,*
294,52,adult,adult,*
295,7,child,young,*
296,11,child,young,*
297,90,old,adult,*
298,37,adult,adult,*
299,98,old,adult,*
300,2,child,young,*
301,74,old,adult,*
302,40,adult,adult,*
303,46,adult,adult,*
304,48,adult,adult,*
305,38,adult,adult,*
306,91,old,adult,*
307,63,old,adult,*
308,79,old,adult,*
309,70,old,adult,*
310,79,old,adult,*
311,69,old,adult,*
312,65,old,adult,*
313,49,adult,adult,*
314,87,old,adult,*
315,63,old,adult,*
316,38,adult,adult,*
317,12,child,young,*
318,58,adult,adult,*
319,9,child,young,*
320,80,old,adult,*
321,63,old,adult,*
322,55,adult,adult,*
323,47,adult,adult,*
324,26,young-adult,young,*
325,51,adult,adult,*
326,83,old,adult,*
327,90,old,adult,*
328,12,child,young,*
329,51,adult,adult,*
330,50,adult,adult,*
331,97,old,adult,*
332,35,adult,adult,*
333,50,adult,adult,*
334,23,young-adult,young,*
335,67,old,adult,*
336,68,old,adult,*
337,44,adult,adult,*
338,10,child,young,*
339,80,old,adult,*
340,52,adult,adult,*
341,94,old,adult,*
342,66,old,adult,*
343,72,old,adult,*
344,71,old,adult,*
345,7,child,young,*
346,92,old,adult,*
347,99,old,adult,*
348,32,adult,adult,*
349,32,adult,adult,*
350,31,adult,adult,*
351,39,adult,adult,*
352,54,adult,adult,*
353,57,adult,adult,*
354,49,adult,adult,*
355,59,adult,adult,*
356,42,adult,adult,*
357,33,adult,adult,*
358,88,old,adult,*
359,44,adult,adult,*
360,2,child,young,*
361,80,old,adult,*
362,66,old,adult,*
363,95,old,adult,*
364,53,adult,adult,*
365,69,old,adult,*
366,90,old,adult,*
367,68,old,adult,*
368,12,child,young,*
369,5,child,young,*
370,90,old,adult,*
371,79,old,adult,*
372,18,young-adult,young,*
373,71,old,adult,*
374,36,adult,adult,*
375,5,child,young,*
376,19,young-adult,young,*
377,94,old,adult,*
378,50,adult,adult,*
379,52,adult,adult,*
380,36,adult,adult,*
381,56,adult,adult,*
382,6,child,young,*
383,63,old,adult,*
384,86,old,adult,*
385,29,young-adult,young,*
386,49,adult,adult,*
387,69,old,adult,*
388,45,adult,adult,*
389,38,adult,adult,*
390,44,adult,adult,*
391,17,child,young,*
392,20,young-adult,young,*
393,23,young-adult,young,*
394,90,old,adult,*
395,2,child,young,*
396,55,adult,adult,*
397,82,old,adult,*
398,69,old,adult,*
399,15,child,young,*
400,81,old,adult,*
401,20,young-adult,young,*
402,96,old,adult,*
403,83,old,adult,*
404,95,old,adult,*
405,82,old,adult,*
406,92,old,adult,*
407,37,adult,adult,*
408,95,old,adult,*
409,43,adult,adult,*
410,51,adult,adult,*
411,95,old,adult,*
412,71,old,adult,*
413,84,old,adult,*
414,96,old,adult,*
415,9,child,young,*
416,17,child,young,*
417,8,child,young,*
418,18,young-adult,young,*
419,86,old,adult,*
420,57,adult,adult,*
421,41,adult,adult,*
422,59,adult,adult,*
423,19,young-adult,young,*
424,32,adult,adult,*
425,67,old,adult,*
426,51,adult,adult,*
427,53,adult,adult,*
428,86,old,adult,*
429,67,old,adult,*
430,37,adult,adult,*
431,75,old,adult,*
432,53,adult,adult,*
433,94,old,adult,*
434,78,old,adult,*
435,10,child,young,*
436,79,old,adult,*
437,99,old,adult,*
438,46,adult,adult,*
439,87,old,adult,*
440,73,old,adult,*
441,17,child,young,*
442,80,old,adult,*
443,73,old,adult,*
444,89,old,adult,*
445,3,child,young,*
446,64,old,adult,*
447,72,old,adult,*
448,17,child,young,*
449,93,old,adult,*
450,52,adult,adult,*
451,67,old,adult,*
452,63,old,adult,*
453,56,adult,adult,*
454,26,young-adult,young,*
455,62,old,adult,*
456,20,young-adult,young,*
457,47,adult,adult,*
458,31,adult,adult,*
459,96,old,adult,*
460,31,adult,adult,*
461,48,adult,adult,*
462,51,adult,adult,*
463,13,child,young,*
464,10,child,young,*
465,63,old,adult,*
466,77,old,adult,*
467,61,old,adult,*
468,31,adult,adult,*
469,89,old,adult,*
470,3,child,young,*
471,65,old,adult,*
472,14,child,young,*
473,80,old,adult,*
474,65,old,adult,*
475,48,adult,adult,*
476,75,old,adult,*
477,9,child,young,*
478,25,young-adult,young,*
479,35,adult,adult,*
480,53,adult,adult,*
481,98,old,adult,*
482,65,old,adult,*
483,88,old,adult,*
484,95,old,adult,*
485,22,young-adult,young,*
486,61,old,adult,*
487,68,old,adult,*
488,14,child,young,*
489,56,adult,adult,*
490,50,adult,adult,*
491,99,old,adult,*
492,9,child,young,*
493,45,adult,adult,*
494,70,old,adult,*
495,38,adult,adult,*
496,48,adult,adult,*
497,26,young-adult,young,*
498,38,adult,adult,*
499,36,adult,adult,*
500,90,old,adult,*
501,97,old,adult,*
502,21,young-adult,young,*
503,66,old,adult,*
504,87,old,adult,*
505,63,old,adult,*
506,14,child,young,*
507,49,adult,adult,*
508,33,adult,adult,*
509,87,old,adult,*
510,88,old,adult,*
511,65,old,adult,*
512,66,old,adult,*
513,84,old,adult,*
514,43,adult,adult,*
515,26,young-adult,young,*
516,75,old,adult,*
517,30,adult,adult,*
518,60,old,adult,*
519,77,old,adult,*
520,30,adult,adult,*
521,62,old,adult,*
522,61,old,adult,*
523,51,adult,adult,*
524,59,adult,adult,*
525,27,young-adult,young,*
526,74,old,adult,*
527,76,old,adult,*
528,58,adult,adult,*
529,96,old,adult,*
530,69,old,adult,*
531,3,child,young,*
532,68,old,adult,*
533,57,adult,adult,*
534,92,old,adult,*
535,26,young-adult,young,*
536,33,adult,adult,*
537,88,old,adult,*
538,21,young-adult,young,*
539,71,old,adult,*
540,29,young-adult,young,*
541,4,child,young,*
542,62,old,adult,*
543,9,child,young,*
544,29,young-adult,young,*
545,27,young-adult,young,*
546,85,old,adult,*
547,58,adult,adult,*
548,59,adult,adult,*
549,32,adult,adult,*
550,96,old,adult,*
551,41,adult,adult,*
552,6,child,young,*
553,94,old,adult,*
554,17,child,young,*
555,38,adult,adult,*
556,6,child,young,*
557,38,adult,adult,*
558,89,old,adult,*
559,81,old,adult,*
560,44,adult,adult,*
561,64,old,adult,*
562,17,child,young,*
563,23,young-adult,young,*
564,69,old,adult,*
565,7,child,young,*
566,14,child,young,*
567,64,old,adult,*
568,81,old,adult,*
569,11,child,young,*
570,1,child,young,*
571,90,old,adult,*
572,57,adult,adult,*
573,76,old,adult,*
574,81,old,adult,*
575,82,old,adult,*
576,83,old,adult,*
577,36,adult,adult,*
578,3,child,young,*
579,94,old,adult,*
580,2,child,young,*
581,22,young-adult,young,*
582,46,adult,adult,*
583,20,young-adult,young,*
584,85,old,adult,*
585,38,adult,adult,*
586,21,young-adult,young,*
587,35,adult,adult,*
588,90,old,adult,*
589,91,old,adult,*
590,26,young-adult,young,*
591,30,adult,adult,*
592,74,old,adult,*
593,91,old,adult,*
594,83,old,adult,*
595,73,old,adult,*
596,90,old,adult,*
597,69,old,adult,*
598,99,old,adult,*
599,85,old,adult,*
600,10,child,young,*
601,19,young-adult,young,*
602,32,adult,adult,*
603,3,child,young,*
604,49,adult,adult,*
605,79,old,adult,*
606,3,child,young,*
607,22,young-adult,young,*
608,16,child,young,*
609,80,old,adult,*
610,14,child,young,*
611,9,child,young,*
612,80,old,adult,*
613,33,adult,adult,*
614,95,old,adult,*
615,2,child,young,*
616,4,child,young,*
617,37,adult,adult,*
618,36,adult,adult,*
619,86,old,adult,*
620,71,old,adult,*
621,7,child,young,*
622,80,old,adult,*
623,70,old,adult,*
624,73,old,adult,*
625,15,child,young,*
626,20,young-adult,young,*
627,21,young-adult,young,*
628,38,adult,adult,*
629,88,old,adult,*
630,9,child,young,*
631,72,old,adult,*
632,24,young-adult,young,*
633,83,old,adult,*
634,77,old,adult,*
635,73,old,adult,*
636,2,child,young,*
637,60,old,adult,*
638,55,adult,adult,*
639,23,young-adult,young,*
640,51,adult,adult,*
641,75,old,adult,*
642,39,adult,adult,*
643,95,old,adult,*
644,41,adult,adult,*
645,40,adult,adult,*
646,86,old,adult,*
647,30,adult,adult,*
648,2,child,young,*
649,97,old,adult,*
650,7,child,young,*
651,76,old,adult,*
652,9,child,young,*
653,28,young-adult,young,*
654,49,adult,adult,*
655,64,old,adult,*
656,7,child,young,*
657,56,adult,adult,*
658,92,old,adult,*
659,69,old,adult,*
660,80,old,adult,*
661,83,old,adult,*
662,96,old,adult,*
663,73,old,adult,*
664,17,child,young,*
665,70,old,adult,*
666,57,adult,adult,*
667,98,old,adult,*
668,4,child,young,*
669,99,old,adult,*
670,16,child,young,*
671,42,adult,adult,*
672,56,adult,adult,*
673,84,old,adult,*
674,93,old,adult,*
675,12,child,young,*
676,33,adult,adult,*
677,59,adult,adult,*
678,7,child,young,*
679,9,child,young,*
680,93,old,adult,*
681,92,old,adult,*
682,7,child,young,*
683,89,old,adult,*
684,80,old,adult,*
685,69,old,adult,*
686,75,old,adult,*
687,18,young-adult,young,*
688,37,adult,adult,*
689,48,adult,adult,*
690,46,adult,adult,*
691,53,adult,adult,*
692,49,adult,adult,*
693,88,old,adult,*
694,46,adult,adult,*
695,15,child,young,*
696,82,old,adult,*
697,5,child,young,*
698,54,adult,adult,*
699,42,adult,adult,*
700,72,old,adult,*
701,19,young-adult,young,*
702,10,child,young,*
703,95,old,adult,*
704,5,child,young,*
705,62,old,adult,*
706,82,old,adult,*
707,35,adult,adult,*
708,34,adult,adult,*
709,5,child,young,*
710,20,young-adult,young,*
711,54,adult,adult,*
712,83,old,adult,*
713,31,adult,adult,*
714,87,old,adult,*
715,3,child,young,*
716,18,young-adult,young,*
717,25,young-adult,young,*
718,44,adult,adult,*
719,17,child,young,*
720,63,old,adult,*
721,78,old,adult,*
722,92,old,adult,*
723,7,child,young,*
724,93,old,adult,*
725,30,adult,adult,*
726,77,old,adult,*
727,31,adult,adult,*
728,36,adult,adult,*
729,87,old,adult,*
730,54,adult,adult,*
731,12,child,young,*
732,58,adult,adult,*
733,26,young-adult,young,*
734,68,old,adult,*
735,18,young-adult,young,*
736,59,adult,adult,*
737,11,child,young,*
738,97,old,adult,*
739,48,adult,adult,*
740,86,old,adult,*
741,12,child,young,*
742,32,adult,adult,*
743,58,adult,adult,*
744,98,old,adult,*
745,11,child,young,*
746,36,adult,adult,*
747,21,young-adult,young,*
748,41,adult,adult,*
749,48,adult,adult,*
750,68,old,adult,*
751,83,old,adult,*
752,59,adult,adult,*
753,21,young-adult,young,*
754,17,child,young,*
755,71,old,adult,*
756,32,adult,adult,*
757,23,young-adult,young,*
758,53,adult,adult,*
759,84,old,adult,*
760,39,adult,adult,*
761,49,adult,adult,*
762,43,adult,adult,*
763,45,adult,adult,*
764,41,adult,adult,*
765,79,old,adult,*
766,8,child,young,*
767,74,old,adult,*
768,62,old,adult,*
769,75,old,adult,*
770,60,old,adult,*
771,49,adult,adult,*
772,38,adult,adult,*
773,30,adult,adult,*
774,95,old,adult,*
775,69,old,adult,*
776,33,adult,adult,*
777,23,young-adult,young,*
778,27,young-adult,young,*
779,34,adult,adult,*
780,22,young-adult,young,*
781,30,adult,adult,*
782,57,adult,adult,*
783,83,old,adult,*
784,51,adult,adult,*
785,79,old,adult,*
786,43,adult,adult,*
787,40,adult,adult,*
788,17,child,young,*
789,23,young-adult,young,*
790,17,child,young,*
791,88,old,adult,*
792,80,old,adult,*
793,85,old,adult,*
794,33,adult,adult,*
795,37,adult,adult,*
796,29,young-adult,young,*
797,90,old,adult,*
798,42,adult,adult,*
799,54,adult,adult,*
800,84,old,adult,*
801,66,old,adult,*
802,41,adult,adult,*
803,6,child,young,*
804,53,adult,adult,*
805,99,old,adult,*
806,11,child,young,*
807,33,adult,adult,*
808,49,adult,adult,*
809,76,old,adult,*
810,77,old,adult,*
811,33,adult,adult,*
812,60,old,adult,*
813,7,child,young,*
814,22,young-adult,young,*
815,1,child,young,*
816,45,adult,adult,*
817,23,young-adult,young,*
818,13,child,young,*
819,65,old,adult,*
820,86,old,adult,*
821,47,adult,adult,*
822,35,adult,adult,*
823,62,old,adult,*
824,84,old,adult,*
825,87,old,adult,*
826,32,adult,adult,*
827,85,old,adult,*
828,30,adult,adult,*
829,26,young-adult,young,*
830,63,old,adult,*
831,37,adult,adult,*
832,89,old,adult,*
833,3,child,young,*
834,15,child,young,*
835,77,old,adult,*
836,83,old,adult,*
837,24,young-adult,young,*
838,11,child,young,*
839,61,old,adult,*
840,11,child,young,*
841,97,old,adult,*
842,23,young-adult,young,*
843,26,young-adult,young,*
844,19,young-adult,young,*
845,43,adult,adult,*
846,9,child,young,*
847,10,child,young,*
848,63,old,adult,*
849,43,adult,adult,*
850,24,young-adult,young,*
851,6,child,young,*
852,43,adult,adult,*
853,91,old,adult,*
854,2,child,young,*
855,12,child,young,*
856,15,child,young,*
857,49,adult,adult,*
858,11,child,young,*
859,78,old,adult,*
860,44,adult,adult,*
861,90,old,adult,*
862,42,adult,adult,*
863,93,old,adult,*
864,24,young-adult,young,*
865,19,young-adult,young,*
866,87,old,adult,*
867,38,adult,adult,*
868,68,old,adult,*
869,9,child,young,*
870,61,old,adult,*
871,92,old,adult,*
872,7,child,young,*
873,37,adult,adult,*
874,97,old,adult,*
875,74,old,adult,*
876,89,old,adult,*
877,10,child,young,*
878,72,old,adult,*
879,87,old,adult,*
880,95,old,adult,*
881,8,child,young,*
882,71,old,adult,*
883,47,adult,adult,*
884,46,adult,adult,*
885,57,adult,adult,*
886,60,old,adult,*
887,91,old,adult,*
888,2,child,young,*
889,42,adult,adult,*
890,19,young-adult,young,*
891,54,adult,adult,*
892,62,old,adult,*
893,66,old,adult,*
894,61,old,adult,*
895,32,adult,adult,*
896,12,child,young,*
897,21,young-adult,young,*
898,45,adult,adult,*
899,27,young-adult,young,*
900,56,adult,adult,*
901,61,old,adult,*
902,9,child,young,*
903,84,old,adult,*
904,70,old,adult,*
905,32,adult,adult,*
906,10,child,young,*
907,64,old,adult,*
908,47,adult,adult,*
909,54,adult,adult,*
910,72,old,adult,*
911,80,old,adult,*
912,44,adult,adult,*
913,63,old,adult,*
914,38,adult,adult,*
915,87,old,adult,*
916,99,old,adult,*
917,51,adult,adult,*
918,99,old,adult,*
919,96,old,adult,*
920,43,adult,adult,*
921,38,adult,adult,*
922,63,old,adult,*
923,12,child,young,*
924,23,young-adult,young,*
925,91,old,adult,*
926,26,young-adult,young,*
927,12,child,young,*
928,70,old,adult,*
929,49,adult,adult,*
930,83,old,adult,*
931,47,adult,adult,*
932,5,child,young,*
933,12,child,young,*
934,50,adult,adult,*
935,8,child,young,*
936,64,old,adult,*
937,47,adult,adult,*
938,48,adult,adult,*
939,92,old,adult,*
940,90,old,adult,*
941,56,adult,adult,*
942,11,child,young,*
943,12,child,young,*
944,9,child,young,*
945,95,old,adult,*
946,64,old,adult,*
947,83,old,adult,*
948,15,child,young,*
949,53,adult,adult,*
950,49,adult,adult,*
951,61,old,adult,*
952,61,old,adult,*
953,55,adult,adult,*
954,77,old,adult,*
955,16,child,young,*
956,29,young-adult,young,*
957,99,old,adult,*
958,59,adult,adult,*
959,79,old,adult,*
960,63,old,adult,*
961,52,adult,adult,*
962,99,old,adult,*
963,47,adult,adult,*
964,82,old,adult,*
965,29,young-adult,young,*
966,81,old,adult,*
967,9,child,young,*
968,53,adult,adult,*
969,32,adult,adult,*
970,54,adult,adult,*
971,92,old,adult,*
972,23,young-adult,young,*
973,73,old,adult,*
974,43,adult,adult,*
975,24,young-adult,young,*
976,1,child,young,*
977,31,adult,adult,*
978,53,adult,adult,*
979,84,old,adult,*
980,74,old,adult,*
981,4,child,young,*
982,64,old,adult,*
983,14,child,young,*
984,42,adult,adult,*
985,64,old,adult,*
986,48,adult,adult,*
987,9,child,young,*
988,37,adult,adult,*
989,78,old,adult,*
990,83,old,adult,*
991,63,old,adult,*
992,82,old,adult,*
993,97,old,adult,*
994,37,adult,adult,*
995,67,old,adult,*
996,11,child,young,*
997,59,adult,adult,*
998,28,young-adult,young,*
999,59,adult,adult,*
