,0,1,2
501,569,high,*
502,685,high,*
503,450,mid,*
504,13,low,*
505,737,high,*
506,749,high,*
507,20,low,*
508,41,low,*
509,360,mid,*
510,647,high,*
511,813,high,*
512,9,low,*
513,823,high,*
514,56,high_low,*
515,869,high,*
516,280,mid,*
517,516,mid,*
518,135,high_low,*
519,902,high,*
520,749,high,*
521,536,mid,*
522,941,high,*
523,767,high,*
524,248,mid,*
525,297,mid,*
526,668,high,*
527,198,high_low,*
528,990,high,*
529,122,high_low,*
530,649,high,*
531,462,mid,*
532,803,high,*
533,80,high_low,*
534,631,high,*
535,321,mid,*
536,640,high,*
537,991,high,*
538,187,high_low,*
539,626,high,*
540,891,high,*
541,746,high,*
542,345,mid,*
543,626,high,*
544,286,mid,*
545,774,high,*
546,667,high,*
547,359,mid,*
548,755,high,*
549,91,high_low,*
550,305,mid,*
551,590,high,*
552,252,mid,*
553,996,high,*
554,933,high,*
555,924,high,*
556,276,mid,*
557,470,mid,*
558,662,high,*
559,157,high_low,*
560,321,mid,*
561,608,high,*
562,567,high,*
563,861,high,*
564,558,high,*
565,22,low,*
566,990,high,*
567,127,high_low,*
568,429,mid,*
569,654,high,*
570,94,high_low,*
571,66,high_low,*
572,654,high,*
573,819,high,*
574,815,high,*
575,862,high,*
576,320,mid,*
577,693,high,*
578,959,high,*
579,312,mid,*
580,400,mid,*
581,42,low,*
582,410,mid,*
583,372,mid,*
584,779,high,*
585,692,high,*
586,543,mid,*
587,276,mid,*
588,788,high,*
589,609,high,*
590,638,high,*
591,950,high,*
592,79,high_low,*
593,610,high,*
594,157,high_low,*
595,132,high_low,*
596,117,high_low,*
597,324,mid,*
598,755,high,*
599,83,high_low,*
600,286,mid,*
601,54,high_low,*
602,505,mid,*
603,315,mid,*
604,974,high,*
605,93,high_low,*
606,225,mid,*
607,786,high,*
608,391,mid,*
609,98,high_low,*
610,568,high,*
611,759,high,*
612,536,mid,*
613,825,high,*
614,543,mid,*
615,571,high,*
616,745,high,*
617,835,high,*
618,268,mid,*
619,919,high,*
620,269,mid,*
621,936,high,*
622,801,high,*
623,958,high,*
624,301,mid,*
625,186,high_low,*
626,752,high,*
627,853,high,*
628,757,high,*
629,812,high,*
630,724,high,*
631,703,high,*
632,735,high,*
633,508,mid,*
634,40,low,*
635,919,high,*
636,551,high,*
637,99,high_low,*
638,401,mid,*
639,686,high,*
640,726,high,*
641,821,high,*
642,868,high,*
643,410,mid,*
644,815,high,*
645,161,high_low,*
646,913,high,*
647,47,low,*
648,957,high,*
649,632,high,*
650,139,high_low,*
651,905,high,*
652,688,high,*
653,637,high,*
654,468,mid,*
655,679,high,*
656,844,high,*
657,538,mid,*
658,967,high,*
659,623,high,*
660,775,high,*
661,362,mid,*
662,676,high,*
663,76,high_low,*
664,487,mid,*
665,919,high,*
666,422,mid,*
667,56,high_low,*
668,94,high_low,*
669,969,high,*
670,886,high,*
671,495,mid,*
672,192,high_low,*
673,679,high,*
674,420,mid,*
675,964,high,*
676,772,high,*
677,437,mid,*
678,813,high,*
679,372,mid,*
680,693,high,*
681,364,mid,*
682,496,mid,*
683,927,high,*
684,250,mid,*
685,467,mid,*
686,69,high_low,*
687,785,high,*
688,390,mid,*
689,597,high,*
690,700,high,*
691,762,high,*
692,990,high,*
693,860,high,*
694,300,mid,*
695,280,mid,*
696,622,high,*
697,651,high,*
698,555,high,*
699,752,high,*
700,853,high,*
701,908,high,*
702,75,high_low,*
703,736,high,*
704,749,high,*
705,362,mid,*
706,255,mid,*
707,403,mid,*
708,82,high_low,*
709,910,high,*
710,854,high,*
711,917,high,*
712,157,high_low,*
713,541,mid,*
714,997,high,*
715,234,mid,*
716,676,high,*
717,633,high,*
718,220,mid,*
719,761,high,*
720,141,high_low,*
721,493,mid,*
722,484,mid,*
723,71,high_low,*
724,96,high_low,*
725,302,mid,*
726,233,mid,*
727,324,mid,*
728,27,low,*
729,559,high,*
730,206,mid,*
731,925,high,*
732,900,high,*
733,198,high_low,*
734,974,high,*
735,355,mid,*
736,36,low,*
737,138,high_low,*
738,264,mid,*
739,922,high,*
740,351,mid,*
741,405,mid,*
742,414,mid,*
743,302,mid,*
744,340,mid,*
745,947,high,*
746,765,high,*
747,465,mid,*
748,358,mid,*
749,684,high,*
750,646,high,*
751,913,high,*
752,607,high,*
753,346,mid,*
754,189,high_low,*
755,6,low,*
756,606,high,*
757,503,mid,*
758,788,high,*
759,793,high,*
760,486,mid,*
761,730,high,*
762,656,high,*
763,766,high,*
764,423,mid,*
765,273,mid,*
766,114,high_low,*
767,63,high_low,*
768,804,high,*
769,624,high,*
770,360,mid,*
771,301,mid,*
772,1,low,*
773,293,mid,*
774,370,mid,*
775,340,mid,*
776,14,low,*
777,682,high,*
778,946,high,*
779,183,high_low,*
780,720,high,*
781,281,mid,*
782,938,high,*
783,908,high,*
784,888,high,*
785,6,low,*
786,996,high,*
787,933,high,*
788,154,high_low,*
789,465,mid,*
790,739,high,*
791,323,mid,*
792,410,mid,*
793,952,high,*
794,384,mid,*
795,964,high,*
796,505,mid,*
797,971,high,*
798,429,mid,*
799,681,high,*
800,929,high,*
801,948,high,*
802,254,mid,*
803,559,high,*
804,83,high_low,*
805,983,high,*
806,286,mid,*
807,621,high,*
808,805,high,*
809,998,high,*
810,65,high_low,*
811,942,high,*
812,715,high,*
813,665,high,*
814,780,high,*
815,721,high,*
816,265,mid,*
817,649,high,*
818,485,mid,*
819,488,mid,*
820,401,mid,*
821,142,high_low,*
822,482,mid,*
823,931,high,*
824,658,high,*
825,853,high,*
826,587,high,*
827,898,high,*
828,672,high,*
829,492,mid,*
830,386,mid,*
831,249,mid,*
832,694,high,*
833,821,high,*
834,416,mid,*
835,689,high,*
836,112,high_low,*
837,541,mid,*
838,890,high,*
839,491,mid,*
840,774,high,*
841,346,mid,*
842,879,high,*
843,910,high,*
844,507,mid,*
845,211,mid,*
846,903,high,*
847,32,low,*
848,4,low,*
849,110,high_low,*
850,820,high,*
851,93,high_low,*
852,157,high_low,*
853,346,mid,*
854,944,high,*
855,825,high,*
856,431,mid,*
857,380,mid,*
858,395,mid,*
859,804,high,*
860,434,mid,*
861,799,high,*
862,284,mid,*
863,263,mid,*
864,122,high_low,*
865,682,high,*
866,672,high,*
867,486,mid,*
868,566,high,*
869,412,mid,*
870,192,high_low,*
871,505,mid,*
872,92,high_low,*
873,196,high_low,*
874,828,high,*
875,466,mid,*
876,295,mid,*
877,976,high,*
878,5,low,*
879,659,high,*
880,46,low,*
881,857,high,*
882,998,high,*
883,70,high_low,*
884,99,high_low,*
885,356,mid,*
886,953,high,*
887,802,high,*
888,531,mid,*
889,3,low,*
890,583,high,*
891,897,high,*
892,246,mid,*
893,270,mid,*
894,435,mid,*
895,692,high,*
896,230,mid,*
897,355,mid,*
898,706,high,*
899,764,high,*
900,419,mid,*
901,122,high_low,*
902,960,high,*
903,64,high_low,*
904,149,high_low,*
905,989,high,*
906,152,high_low,*
907,440,mid,*
908,966,high,*
909,426,mid,*
910,39,low,*
911,383,mid,*
912,846,high,*
913,714,high,*
914,519,mid,*
915,393,mid,*
916,298,mid,*
917,170,high_low,*
918,70,high_low,*
919,308,mid,*
920,490,mid,*
921,17,low,*
922,173,high_low,*
923,175,high_low,*
924,432,mid,*
925,231,mid,*
926,29,low,*
927,492,mid,*
928,727,high,*
929,886,high,*
930,172,high_low,*
931,664,high,*
932,351,mid,*
933,347,mid,*
934,55,high_low,*
935,88,high_low,*
936,529,mid,*
937,841,high,*
938,747,high,*
939,548,mid,*
940,313,mid,*
941,483,mid,*
942,35,low,*
943,322,mid,*
944,669,high,*
945,23,low,*
946,54,high_low,*
947,637,high,*
948,21,low,*
949,517,mid,*
950,670,high,*
951,926,high,*
952,359,mid,*
953,382,mid,*
954,105,high_low,*
955,916,high,*
956,142,high_low,*
957,837,high,*
958,391,mid,*
959,204,mid,*
960,7,low,*
961,59,high_low,*
962,796,high,*
963,919,high,*
964,978,high,*
965,739,high,*
966,441,mid,*
967,320,mid,*
968,984,high,*
969,982,high,*
970,379,mid,*
971,624,high,*
972,984,high,*
973,478,mid,*
974,278,mid,*
975,502,mid,*
976,600,high,*
977,258,mid,*
978,981,high,*
979,502,mid,*
980,620,high,*
981,719,high,*
982,844,high,*
983,720,high,*
984,767,high,*
985,741,high,*
986,857,high,*
987,85,high_low,*
988,628,high,*
989,234,mid,*
990,898,high,*
991,985,high,*
992,187,high_low,*
993,866,high,*
994,809,high,*
995,417,mid,*
996,747,high,*
997,231,mid,*
998,56,high_low,*
999,181,high_low,*
